species,stressor,vuln,iucn_sid,src,map_f
acropora abrotanoides,inorganic_pollution,0.47826,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,light_pollution,0.23708,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,light_pollution,0.23708,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,light_pollution,0.23708,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,marine_heat_waves,0.58613,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,marine_heat_waves,0.58613,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,marine_heat_waves,0.58613,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,ocean_acidification,0.47955,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,ocean_acidification,0.47955,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,ocean_acidification,0.47955,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,oceanographic,0.47416,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,oceanographic,0.47416,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,oceanographic,0.47416,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,organic_pollution,0.47697,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,organic_pollution,0.47697,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,organic_pollution,0.47697,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,plastic_pollution_microplastic,0.211,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,plastic_pollution_microplastic,0.211,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,plastic_pollution_microplastic,0.211,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,poisons_toxins,0.44966,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,poisons_toxins,0.44966,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,poisons_toxins,0.44966,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,salinity,0.63153,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,salinity,0.63153,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,salinity,0.63153,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,sedimentation,0.34893,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,sedimentation,0.34893,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,sedimentation,0.34893,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,sea_level_rise,0.23708,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,sea_level_rise,0.23708,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,sea_level_rise,0.23708,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,sst_rise,0.71843,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,sst_rise,0.71843,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,sst_rise,0.71843,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,storm_disturbance,0.18962,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,storm_disturbance,0.18962,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,storm_disturbance,0.18962,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,uv_radiation,0.38438,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,uv_radiation,0.38438,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,uv_radiation,0.38438,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,wildlife_strike,0,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,wildlife_strike,0,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,wildlife_strike,0,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora aculeus,biomass_removal,0.71843,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,bycatch,0.33422,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,entanglement_macroplastic,0.09748,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,eutrophication_nutrient_pollution,0.59673,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,habitat_loss_degradation,0.38435,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,inorganic_pollution,0.47826,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,light_pollution,0.23708,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,marine_heat_waves,0.58613,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,ocean_acidification,0.47955,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,oceanographic,0.47416,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,organic_pollution,0.47697,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,plastic_pollution_microplastic,0.211,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,poisons_toxins,0.44966,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,salinity,0.63153,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,sedimentation,0.34893,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,sea_level_rise,0.23708,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,sst_rise,0.71843,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,storm_disturbance,0.18962,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,uv_radiation,0.38438,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora aculeus,wildlife_strike,0,133463,iucn,species_ranges/iucn_spp_mol_133463.csv
acropora acuminata,biomass_removal,0.71843,132940,iucn,species_ranges/iucn_spp_mol_132940.csv
